Connecticut, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,46.6,-1.4
189612,46.8,-1.2
189712,47.3,-0.7
189812,48.2,0.2
189912,47.0,-1.0
190012,48.4,0.4
190112,46.6,-1.4
190212,47.2,-0.8
190312,46.9,-1.1
190412,44.3,-3.7
190512,46.3,-1.7
190612,47.7,-0.3
190712,45.6,-2.4
190812,48.2,0.2
190912,47.4,-0.6
191012,47.6,-0.4
191112,47.7,-0.3
191212,46.6,-1.4
191312,49.2,1.2
191412,46.4,-1.6
191512,47.9,-0.1
191612,46.4,-1.6
191712,44.8,-3.2
191812,46.9,-1.1
191912,48.0,0.0
192012,46.4,-1.6
192112,49.3,1.3
192212,47.9,-0.1
192312,46.8,-1.2
192412,46.4,-1.6
192512,47.9,-0.1
192612,45.6,-2.4
192712,47.9,-0.1
192812,47.8,-0.2
192912,47.7,-0.3
193012,48.6,0.6
193112,49.6,1.6
193212,48.8,0.8
193312,48.4,0.4
193412,47.2,-0.8
193512,47.3,-0.7
193612,47.7,-0.3
193712,48.7,0.7
193812,48.9,0.9
193912,47.8,-0.2
194012,45.8,-2.2
194112,48.5,0.5
194212,48.3,0.3
194312,47.3,-0.7
194412,48.2,0.2
194512,48.3,0.3
194612,48.9,0.9
194712,47.9,-0.1
194812,47.8,-0.2
194912,50.5,2.5
195012,47.8,-0.2
195112,49.0,1.0
195212,49.4,1.4
195312,50.5,2.5
195412,48.7,0.7
195512,48.7,0.7
195612,47.6,-0.4
195712,49.2,1.2
195812,46.6,-1.4
195912,49.2,1.2
196012,48.0,0.0
196112,48.3,0.3
196212,46.8,-1.2
196312,47.2,-0.8
196412,48.0,0.0
196512,47.5,-0.5
196612,48.0,0.0
196712,47.1,-0.9
196812,47.7,-0.3
196912,48.0,0.0
197012,47.8,-0.2
197112,48.3,0.3
197212,47.3,-0.7
197312,50.0,2.0
197412,48.2,0.2
197512,49.1,1.1
197612,47.6,-0.4
197712,48.2,0.2
197812,46.7,-1.3
197912,48.8,0.8
198012,47.9,-0.1
198112,48.4,0.4
198212,47.9,-0.1
198312,49.4,1.4
198412,49.0,1.0
198512,48.7,0.7
198612,48.5,0.5
198712,48.8,0.8
198812,48.3,0.3
198912,47.9,-0.1
199012,51.1,3.1
199112,51.0,3.0
199212,47.7,-0.3
199312,48.6,0.6
199412,48.9,0.9
199512,49.0,1.0
199612,48.4,0.4
199712,48.6,0.6
199812,51.6,3.6
199912,50.8,2.8
200012,48.5,0.5
200112,50.2,2.2
200212,50.5,2.5
200312,48.2,0.2
200412,48.8,0.8
200512,49.5,1.5
200612,51.1,3.1
200712,49.5,1.5
200812,49.7,1.7
200912,48.8,0.8
201012,51.4,3.4
201112,50.9,2.9
201212,52.5,4.5
201312,49.8,1.8
201412,48.7,0.7
201512,49.8,1.8
201612,51.8,3.8
201712,50.9,2.9
201812,50.8,2.8
201912,49.8,1.8
202012,51.8,3.8
202112,51.4,3.4
