Florida, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,68.7,-1.4
189612,69.9,-0.2
189712,70.4,0.3
189812,70.1,0.0
189912,70.4,0.3
190012,69.9,-0.2
190112,68.0,-2.1
190212,69.9,-0.2
190312,69.0,-1.1
190412,69.3,-0.8
190512,70.0,-0.1
190612,69.6,-0.5
190712,70.5,0.4
190812,70.3,0.2
190912,70.2,0.1
191012,68.2,-1.9
191112,71.3,1.2
191212,70.0,-0.1
191312,70.0,-0.1
191412,69.1,-1.0
191512,69.1,-1.0
191612,69.6,-0.5
191712,68.8,-1.3
191812,69.8,-0.3
191912,70.4,0.3
192012,68.9,-1.2
192112,71.0,0.9
192212,71.0,0.9
192312,70.1,0.0
192412,69.4,-0.7
192512,70.4,0.3
192612,69.3,-0.8
192712,71.1,1.0
192812,69.2,-0.9
192912,70.7,0.6
193012,69.2,-0.9
193112,69.9,-0.2
193212,71.0,0.9
193312,70.9,0.8
193412,69.8,-0.3
193512,69.8,-0.3
193612,70.1,0.0
193712,69.8,-0.3
193812,70.2,0.1
193912,70.6,0.5
194012,68.2,-1.9
194112,69.8,-0.3
194212,69.4,-0.7
194312,69.5,-0.6
194412,70.2,0.1
194512,70.7,0.6
194612,71.2,1.1
194712,70.3,0.2
194812,71.6,1.5
194912,71.6,1.5
195012,70.3,0.2
195112,70.4,0.3
195212,70.3,0.2
195312,70.8,0.7
195412,70.1,0.0
195512,70.2,0.1
195612,69.9,-0.2
195712,71.0,0.9
195812,69.0,-1.1
195912,70.6,0.5
196012,69.3,-0.8
196112,70.0,-0.1
196212,69.8,-0.3
196312,69.2,-0.9
196412,70.0,-0.1
196512,70.2,0.1
196612,69.0,-1.1
196712,70.2,0.1
196812,68.6,-1.5
196912,69.0,-1.1
197012,69.4,-0.7
197112,70.4,0.3
197212,70.9,0.8
197312,70.3,0.2
197412,70.9,0.8
197512,71.2,1.1
197612,69.0,-1.1
197712,69.4,-0.7
197812,69.7,-0.4
197912,69.9,-0.2
198012,69.9,-0.2
198112,69.3,-0.8
198212,71.5,1.4
198312,69.3,-0.8
198412,70.0,-0.1
198512,70.8,0.7
198612,71.5,1.4
198712,70.2,0.1
198812,69.7,-0.4
198912,71.0,0.9
199012,72.5,2.4
199112,71.8,1.7
199212,70.3,0.2
199312,70.3,0.2
199412,71.6,1.5
199512,70.8,0.7
199612,69.9,-0.2
199712,71.1,1.0
199812,72.5,2.4
199912,71.2,1.1
200012,70.6,0.5
200112,70.9,0.8
200212,71.3,1.2
200312,70.9,0.8
200412,70.8,0.7
200512,70.8,0.7
200612,71.4,1.3
200712,71.8,1.7
200812,70.8,0.7
200912,71.2,1.1
201012,69.2,-0.9
201112,71.7,1.6
201212,71.9,1.8
201312,71.7,1.6
201412,70.6,0.5
201512,73.4,3.3
201612,72.5,2.4
201712,72.8,2.7
201812,72.3,2.2
201912,73.2,3.1
202012,73.2,3.1
202112,72.2,2.1
