Kansas, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,52.4,-1.7
189612,54.7,0.6
189712,54.0,-0.1
189812,52.6,-1.5
189912,52.8,-1.3
190012,54.7,0.6
190112,54.2,0.1
190212,53.0,-1.1
190312,52.1,-2.0
190412,53.0,-1.1
190512,52.3,-1.8
190612,53.0,-1.1
190712,53.6,-0.5
190812,54.5,0.4
190912,53.2,-0.9
191012,54.7,0.6
191112,54.8,0.7
191212,51.6,-2.5
191312,54.2,0.1
191412,54.6,0.5
191512,52.3,-1.8
191612,52.9,-1.2
191712,52.0,-2.1
191812,54.0,-0.1
191912,52.7,-1.4
192012,53.2,-0.9
192112,56.4,2.3
192212,54.6,0.5
192312,53.8,-0.3
192412,51.9,-2.2
192512,54.6,0.5
192612,54.1,0.0
192712,53.8,-0.3
192812,54.0,-0.1
192912,52.2,-1.9
193012,54.4,0.3
193112,56.3,2.2
193212,53.6,-0.5
193312,56.7,2.6
193412,57.5,3.4
193512,54.8,0.7
193612,55.2,1.1
193712,53.5,-0.6
193812,56.8,2.7
193912,56.7,2.6
194012,53.5,-0.6
194112,55.0,0.9
194212,53.9,-0.2
194312,54.4,0.3
194412,54.0,-0.1
194512,53.6,-0.5
194612,56.7,2.6
194712,54.1,0.0
194812,53.6,-0.5
194912,53.6,-0.5
195012,53.2,-0.9
195112,52.0,-2.1
195212,54.8,0.7
195312,56.3,2.2
195412,57.2,3.1
195512,54.6,0.5
195612,55.9,1.8
195712,53.6,-0.5
195812,53.1,-1.0
195912,53.6,-0.5
196012,52.7,-1.4
196112,52.7,-1.4
196212,54.3,0.2
196312,55.8,1.7
196412,54.9,0.8
196512,54.4,0.3
196612,53.4,-0.7
196712,53.8,-0.3
196812,53.5,-0.6
196912,53.1,-1.0
197012,54.0,-0.1
197112,53.8,-0.3
197212,53.2,-0.9
197312,54.0,-0.1
197412,54.4,0.3
197512,53.7,-0.4
197612,54.2,0.1
197712,55.4,1.3
197812,52.7,-1.4
197912,52.3,-1.8
198012,55.1,1.0
198112,55.7,1.6
198212,53.0,-1.1
198312,53.2,-0.9
198412,54.0,-0.1
198512,52.5,-1.6
198612,56.2,2.1
198712,55.4,1.3
198812,54.7,0.6
198912,53.1,-1.0
199012,55.5,1.4
199112,55.7,1.6
199212,54.2,0.1
199312,51.9,-2.2
199412,54.9,0.8
199512,53.9,-0.2
199612,53.1,-1.0
199712,53.7,-0.4
199812,56.3,2.2
199912,56.0,1.9
200012,55.5,1.4
200112,55.9,1.8
200212,55.2,1.1
200312,55.0,0.9
200412,55.1,1.0
200512,55.9,1.8
200612,56.9,2.8
200712,55.1,1.0
200812,53.6,-0.5
200912,53.6,-0.5
201012,55.3,1.2
201112,55.2,1.1
201212,58.2,4.1
201312,53.7,-0.4
201412,53.7,-0.4
201512,56.3,2.2
201612,57.2,3.1
201712,56.5,2.4
201812,54.6,0.5
201912,53.8,-0.3
202012,55.6,1.5
202112,56.1,2.0
