Mississippi, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,62.1,-1.5
189612,64.7,1.1
189712,64.7,1.1
189812,63.4,-0.2
189912,63.5,-0.1
190012,63.9,0.3
190112,62.4,-1.2
190212,64.0,0.4
190312,62.5,-1.1
190412,63.5,-0.1
190512,62.9,-0.7
190612,63.6,0.0
190712,64.5,0.9
190812,64.7,1.1
190912,64.4,0.8
191012,63.4,-0.2
191112,65.9,2.3
191212,62.2,-1.4
191312,63.8,0.2
191412,63.2,-0.4
191512,63.4,-0.2
191612,63.7,0.1
191712,62.1,-1.5
191812,64.1,0.5
191912,64.3,0.7
192012,63.0,-0.6
192112,66.4,2.8
192212,65.4,1.8
192312,63.8,0.2
192412,63.0,-0.6
192512,65.1,1.5
192612,63.5,-0.1
192712,66.0,2.4
192812,63.2,-0.4
192912,63.6,0.0
193012,63.8,0.2
193112,64.3,0.7
193212,64.2,0.6
193312,65.9,2.3
193412,64.6,1.0
193512,64.2,0.6
193612,64.0,0.4
193712,63.7,0.1
193812,65.2,1.6
193912,64.7,1.1
194012,61.6,-2.0
194112,64.1,0.5
194212,63.3,-0.3
194312,63.9,0.3
194412,64.2,0.6
194512,64.0,0.4
194612,64.6,1.0
194712,63.0,-0.6
194812,63.6,0.0
194912,64.9,1.3
195012,63.7,0.1
195112,64.4,0.8
195212,64.0,0.4
195312,64.6,1.0
195412,65.1,1.5
195512,64.1,0.5
195612,64.4,0.8
195712,64.3,0.7
195812,61.7,-1.9
195912,63.3,-0.3
196012,62.1,-1.5
196112,62.3,-1.3
196212,63.6,0.0
196312,62.7,-0.9
196412,63.2,-0.4
196512,63.8,0.2
196612,62.2,-1.4
196712,62.6,-1.0
196812,61.5,-2.1
196912,62.3,-1.3
197012,62.6,-1.0
197112,63.4,-0.2
197212,63.5,-0.1
197312,63.7,0.1
197412,63.5,-0.1
197512,63.3,-0.3
197612,61.4,-2.2
197712,63.3,-0.3
197812,62.2,-1.4
197912,61.6,-2.0
198012,63.1,-0.5
198112,63.1,-0.5
198212,63.8,0.2
198312,61.7,-1.9
198412,63.3,-0.3
198512,63.2,-0.4
198612,64.6,1.0
198712,63.5,-0.1
198812,62.7,-0.9
198912,62.4,-1.2
199012,65.1,1.5
199112,64.3,0.7
199212,62.8,-0.8
199312,62.7,-0.9
199412,63.5,-0.1
199512,63.6,0.0
199612,63.0,-0.6
199712,62.9,-0.7
199812,65.8,2.2
199912,65.0,1.4
200012,64.2,0.6
200112,63.7,0.1
200212,64.0,0.4
200312,63.3,-0.3
200412,64.0,0.4
200512,64.3,0.7
200612,64.8,1.2
200712,65.0,1.4
200812,63.3,-0.3
200912,63.6,0.0
201012,63.5,-0.1
201112,64.4,0.8
201212,65.7,2.1
201312,63.1,-0.5
201412,62.3,-1.3
201512,65.3,1.7
201612,65.9,2.3
201712,65.8,2.2
201812,64.8,1.2
201912,65.2,1.6
202012,65.5,1.9
202112,64.6,1.0
