Montana, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,39.0,-2.1
189612,39.4,-1.7
189712,39.8,-1.3
189812,39.8,-1.3
189912,38.1,-3.0
190012,42.8,1.7
190112,41.8,0.7
190212,39.8,-1.3
190312,39.9,-1.2
190412,40.9,-0.2
190512,40.6,-0.5
190612,41.5,0.4
190712,39.2,-1.9
190812,41.5,0.4
190912,39.3,-1.8
191012,42.5,1.4
191112,38.7,-2.4
191212,39.4,-1.7
191312,39.8,-1.3
191412,41.5,0.4
191512,41.2,0.1
191612,37.2,-3.9
191712,38.9,-2.2
191812,41.3,0.2
191912,40.5,-0.6
192012,40.5,-0.6
192112,42.3,1.2
192212,39.2,-1.9
192312,41.4,0.3
192412,39.6,-1.5
192512,42.2,1.1
192612,42.5,1.4
192712,38.6,-2.5
192812,41.2,0.1
192912,38.8,-2.3
193012,41.6,0.5
193112,43.8,2.7
193212,40.5,-0.6
193312,42.0,0.9
193412,44.9,3.8
193512,40.7,-0.4
193612,40.7,-0.4
193712,40.0,-1.1
193812,42.2,1.1
193912,43.3,2.2
194012,42.3,1.2
194112,42.8,1.7
194212,40.9,-0.2
194312,40.8,-0.3
194412,41.2,0.1
194512,40.6,-0.5
194612,41.9,0.8
194712,41.2,0.1
194812,40.5,-0.6
194912,40.0,-1.1
195012,38.2,-2.9
195112,37.4,-3.7
195212,41.1,0.0
195312,43.6,2.5
195412,41.5,0.4
195512,38.7,-2.4
195612,41.0,-0.1
195712,40.7,-0.4
195812,42.6,1.5
195912,40.3,-0.8
196012,41.1,0.0
196112,42.8,1.7
196212,41.5,0.4
196312,42.7,1.6
196412,40.5,-0.6
196512,39.7,-1.4
196612,41.0,-0.1
196712,41.5,0.4
196812,40.7,-0.4
196912,39.9,-1.2
197012,40.4,-0.7
197112,40.4,-0.7
197212,39.6,-1.5
197312,42.0,0.9
197412,42.4,1.3
197512,39.3,-1.8
197612,42.7,1.6
197712,41.6,0.5
197812,38.9,-2.2
197912,40.2,-0.9
198012,42.1,1.0
198112,44.0,2.9
198212,39.0,-2.1
198312,41.8,0.7
198412,41.7,0.6
198512,39.1,-2.0
198612,43.0,1.9
198712,44.6,3.5
198812,44.1,3.0
198912,40.8,-0.3
199012,42.8,1.7
199112,42.9,1.8
199212,43.5,2.4
199312,39.6,-1.5
199412,42.7,1.6
199512,41.7,0.6
199612,39.2,-1.9
199712,42.2,1.1
199812,43.8,2.7
199912,44.0,2.9
200012,42.4,1.3
200112,43.6,2.5
200212,41.4,0.3
200312,43.3,2.2
200412,42.8,1.7
200512,43.1,2.0
200612,44.4,3.3
200712,44.0,2.9
200812,41.4,0.3
200912,41.1,0.0
201012,41.6,0.5
201112,41.6,0.5
201212,44.5,3.4
201312,42.4,1.3
201412,41.9,0.8
201512,44.9,3.8
201612,44.6,3.5
201712,43.2,2.1
201812,41.3,0.2
201912,39.9,-1.2
202012,43.3,2.2
202112,44.0,2.9
