Nevada, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,48.2,-1.3
189612,49.8,0.3
189712,48.7,-0.8
189812,48.5,-1.0
189912,48.7,-0.8
190012,50.4,0.9
190112,49.8,0.3
190212,48.9,-0.6
190312,48.1,-1.4
190412,49.7,0.2
190512,48.6,-0.9
190612,48.9,-0.6
190712,48.9,-0.6
190812,48.5,-1.0
190912,49.0,-0.5
191012,50.4,0.9
191112,47.5,-2.0
191212,47.6,-1.9
191312,47.8,-1.7
191412,49.7,0.2
191512,49.6,0.1
191612,47.7,-1.8
191712,48.1,-1.4
191812,49.4,-0.1
191912,49.2,-0.3
192012,48.9,-0.6
192112,51.2,1.7
192212,48.0,-1.5
192312,48.1,-1.4
192412,48.9,-0.6
192512,50.0,0.5
192612,51.5,2.0
192712,49.8,0.3
192812,50.0,0.5
192912,49.2,-0.3
193012,48.7,-0.8
193112,50.2,0.7
193212,48.1,-1.4
193312,48.7,-0.8
193412,53.0,3.5
193512,49.1,-0.4
193612,50.4,0.9
193712,48.7,-0.8
193812,49.1,-0.4
193912,50.4,0.9
194012,51.4,1.9
194112,49.0,-0.5
194212,48.9,-0.6
194312,50.3,0.8
194412,47.2,-2.3
194512,48.5,-1.0
194612,49.0,-0.5
194712,49.5,0.0
194812,47.8,-1.7
194912,47.6,-1.9
195012,50.6,1.1
195112,49.2,-0.3
195212,48.6,-0.9
195312,50.0,0.5
195412,50.4,0.9
195512,47.8,-1.7
195612,49.2,-0.3
195712,48.8,-0.7
195812,51.0,1.5
195912,50.3,0.8
196012,50.1,0.6
196112,49.9,0.4
196212,49.6,0.1
196312,49.8,0.3
196412,48.1,-1.4
196512,48.7,-0.8
196612,50.1,0.6
196712,49.6,0.1
196812,49.6,0.1
196912,49.7,0.2
197012,49.3,-0.2
197112,48.4,-1.1
197212,49.4,-0.1
197312,49.3,-0.2
197412,50.1,0.6
197512,48.2,-1.3
197612,49.5,0.0
197712,50.3,0.8
197812,49.4,-0.1
197912,49.6,0.1
198012,50.4,0.9
198112,51.8,2.3
198212,48.1,-1.4
198312,49.5,0.0
198412,48.8,-0.7
198512,48.7,-0.8
198612,51.4,1.9
198712,50.6,1.1
198812,50.7,1.2
198912,50.1,0.6
199012,50.0,0.5
199112,49.9,0.4
199212,51.4,1.9
199312,48.6,-0.9
199412,50.8,1.3
199512,50.9,1.4
199612,51.5,2.0
199712,50.6,1.1
199812,49.2,-0.3
199912,50.6,1.1
200012,51.5,2.0
200112,51.6,2.1
200212,50.8,1.3
200312,52.2,2.7
200412,50.8,1.3
200512,50.7,1.2
200612,50.8,1.3
200712,51.5,2.0
200812,50.4,0.9
200912,50.4,0.9
201012,50.0,0.5
201112,49.6,0.1
201212,52.4,2.9
201312,50.5,1.0
201412,53.0,3.5
201512,52.9,3.4
201612,51.9,2.4
201712,52.2,2.7
201812,52.0,2.5
201912,49.9,0.4
202012,52.4,2.9
202112,52.6,3.1
