New Jersey, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,49.8,-1.6
189612,50.5,-0.9
189712,50.5,-0.9
189812,51.6,0.2
189912,50.3,-1.1
190012,51.9,0.5
190112,49.9,-1.5
190212,50.6,-0.8
190312,50.3,-1.1
190412,47.8,-3.6
190512,49.8,-1.6
190612,51.5,0.1
190712,48.8,-2.6
190812,51.3,-0.1
190912,50.6,-0.8
191012,50.4,-1.0
191112,51.3,-0.1
191212,50.0,-1.4
191312,52.8,1.4
191412,49.8,-1.6
191512,51.0,-0.4
191612,49.8,-1.6
191712,48.3,-3.1
191812,50.4,-1.0
191912,51.6,0.2
192012,50.1,-1.3
192112,53.0,1.6
192212,51.4,0.0
192312,50.6,-0.8
192412,49.4,-2.0
192512,51.1,-0.3
192612,48.9,-2.5
192712,50.9,-0.5
192812,50.8,-0.6
192912,51.3,-0.1
193012,51.7,0.3
193112,53.3,1.9
193212,52.2,0.8
193312,51.9,0.5
193412,50.5,-0.9
193512,50.5,-0.9
193612,51.0,-0.4
193712,51.7,0.3
193812,52.2,0.8
193912,51.8,0.4
194012,48.9,-2.5
194112,51.9,0.5
194212,51.5,0.1
194312,50.9,-0.5
194412,51.5,0.1
194512,51.5,0.1
194612,52.6,1.2
194712,51.2,-0.2
194812,51.3,-0.1
194912,53.9,2.5
195012,51.1,-0.3
195112,52.1,0.7
195212,52.5,1.1
195312,53.5,2.1
195412,52.2,0.8
195512,52.1,0.7
195612,51.3,-0.1
195712,52.5,1.1
195812,50.0,-1.4
195912,52.9,1.5
196012,51.1,-0.3
196112,51.5,0.1
196212,50.2,-1.2
196312,50.5,-0.9
196412,51.6,0.2
196512,51.0,-0.4
196612,51.1,-0.3
196712,50.3,-1.1
196812,51.3,-0.1
196912,51.2,-0.2
197012,51.4,0.0
197112,52.0,0.6
197212,51.0,-0.4
197312,53.4,2.0
197412,52.1,0.7
197512,52.8,1.4
197612,51.1,-0.3
197712,51.8,0.4
197812,50.2,-1.2
197912,51.6,0.2
198012,51.6,0.2
198112,51.5,0.1
198212,51.4,0.0
198312,52.6,1.2
198412,52.2,0.8
198512,52.5,1.1
198612,52.3,0.9
198712,52.4,1.0
198812,51.6,0.2
198912,51.5,0.1
199012,54.4,3.0
199112,54.4,3.0
199212,51.2,-0.2
199312,52.2,0.8
199412,52.2,0.8
199512,52.5,1.1
199612,51.5,0.1
199712,52.0,0.6
199812,55.2,3.8
199912,54.1,2.7
200012,52.2,0.8
200112,53.6,2.2
200212,54.3,2.9
200312,51.8,0.4
200412,53.0,1.6
200512,53.4,2.0
200612,55.0,3.6
200712,53.6,2.2
200812,53.6,2.2
200912,52.7,1.3
201012,54.7,3.3
201112,54.9,3.5
201212,55.9,4.5
201312,53.2,1.8
201412,51.9,0.5
201512,53.9,2.5
201612,54.9,3.5
201712,54.6,3.2
201812,54.2,2.8
201912,54.3,2.9
202012,55.5,4.1
202112,55.1,3.7
