New York, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,43.5,-1.0
189612,44.1,-0.4
189712,44.4,-0.1
189812,46.0,1.5
189912,44.7,0.2
190012,45.2,0.7
190112,43.9,-0.6
190212,44.1,-0.4
190312,44.1,-0.4
190412,41.3,-3.2
190512,43.2,-1.3
190612,44.6,0.1
190712,42.5,-2.0
190812,44.8,0.3
190912,44.1,-0.4
191012,44.1,-0.4
191112,44.9,0.4
191212,43.0,-1.5
191312,46.1,1.6
191412,42.9,-1.6
191512,44.6,0.1
191612,43.8,-0.7
191712,41.1,-3.4
191812,43.8,-0.7
191912,45.1,0.6
192012,43.4,-1.1
192112,46.9,2.4
192212,44.9,0.4
192312,43.3,-1.2
192412,42.4,-2.1
192512,44.0,-0.5
192612,41.7,-2.8
192712,44.5,0.0
192812,44.4,-0.1
192912,44.1,-0.4
193012,45.2,0.7
193112,46.7,2.2
193212,45.4,0.9
193312,45.3,0.8
193412,43.7,-0.8
193512,43.4,-1.1
193612,44.3,-0.2
193712,45.2,0.7
193812,45.8,1.3
193912,44.4,-0.1
194012,42.2,-2.3
194112,45.2,0.7
194212,45.0,0.5
194312,43.3,-1.2
194412,44.7,0.2
194512,44.6,0.1
194612,45.8,1.3
194712,44.8,0.3
194812,44.7,0.2
194912,47.1,2.6
195012,44.2,-0.3
195112,45.0,0.5
195212,45.9,1.4
195312,47.0,2.5
195412,45.0,0.5
195512,45.4,0.9
195612,43.8,-0.7
195712,45.4,0.9
195812,43.1,-1.4
195912,45.4,0.9
196012,44.3,-0.2
196112,44.8,0.3
196212,43.5,-1.0
196312,43.3,-1.2
196412,44.9,0.4
196512,43.7,-0.8
196612,44.1,-0.4
196712,43.8,-0.7
196812,43.9,-0.6
196912,44.2,-0.3
197012,44.1,-0.4
197112,44.3,-0.2
197212,43.1,-1.4
197312,46.4,1.9
197412,44.2,-0.3
197512,45.5,1.0
197612,43.2,-1.3
197712,44.5,0.0
197812,42.9,-1.6
197912,44.6,0.1
198012,43.6,-0.9
198112,44.6,0.1
198212,44.4,-0.1
198312,45.5,1.0
198412,45.2,0.7
198512,44.7,0.2
198612,45.1,0.6
198712,45.7,1.2
198812,44.8,0.3
198912,43.8,-0.7
199012,47.3,2.8
199112,47.1,2.6
199212,43.8,-0.7
199312,44.2,-0.3
199412,44.3,-0.2
199512,45.2,0.7
199612,44.5,0.0
199712,44.3,-0.2
199812,48.3,3.8
199912,46.9,2.4
200012,44.9,0.4
200112,46.9,2.4
200212,46.8,2.3
200312,44.5,0.0
200412,45.2,0.7
200512,46.2,1.7
200612,47.6,3.1
200712,45.7,1.2
200812,45.8,1.3
200912,45.0,0.5
201012,47.2,2.7
201112,47.1,2.6
201212,48.8,4.3
201312,45.7,1.2
201412,44.5,0.0
201512,45.7,1.2
201612,47.6,3.1
201712,46.9,2.4
201812,46.2,1.7
201912,45.2,0.7
202012,47.8,3.3
202112,47.7,3.2
