Utah, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,45.2,-2.3
189612,47.2,-0.3
189712,45.8,-1.7
189812,45.1,-2.4
189912,46.2,-1.3
190012,48.2,0.7
190112,47.9,0.4
190212,47.0,-0.5
190312,45.2,-2.3
190412,47.2,-0.3
190512,46.3,-1.2
190612,46.8,-0.7
190712,47.9,0.4
190812,45.6,-1.9
190912,46.4,-1.1
191012,49.0,1.5
191112,46.6,-0.9
191212,45.4,-2.1
191312,45.8,-1.7
191412,47.5,0.0
191512,47.0,-0.5
191612,46.0,-1.5
191712,45.8,-1.7
191812,47.4,-0.1
191912,46.7,-0.8
192012,46.1,-1.4
192112,48.9,1.4
192212,46.3,-1.2
192312,45.9,-1.6
192412,46.2,-1.3
192512,47.4,-0.1
192612,48.6,1.1
192712,47.7,0.2
192812,47.7,0.2
192912,46.4,-1.1
193012,46.2,-1.3
193112,47.6,0.1
193212,45.9,-1.6
193312,47.2,-0.3
193412,51.3,3.8
193512,48.0,0.5
193612,48.8,1.3
193712,47.1,-0.4
193812,48.1,0.6
193912,48.3,0.8
194012,49.6,2.1
194112,47.2,-0.3
194212,47.1,-0.4
194312,49.1,1.6
194412,46.2,-1.3
194512,47.1,-0.4
194612,48.2,0.7
194712,47.8,0.3
194812,46.5,-1.0
194912,45.9,-1.6
195012,47.9,0.4
195112,46.8,-0.7
195212,46.8,-0.7
195312,48.3,0.8
195412,49.3,1.8
195512,46.1,-1.4
195612,47.9,0.4
195712,47.3,-0.2
195812,49.2,1.7
195912,48.5,1.0
196012,48.1,0.6
196112,47.7,0.2
196212,47.9,0.4
196312,48.4,0.9
196412,46.1,-1.4
196512,47.1,-0.4
196612,48.1,0.6
196712,47.5,0.0
196812,46.5,-1.0
196912,48.0,0.5
197012,47.4,-0.1
197112,46.6,-0.9
197212,48.1,0.6
197312,46.2,-1.3
197412,47.7,0.2
197512,45.7,-1.8
197612,47.5,0.0
197712,48.9,1.4
197812,47.9,0.4
197912,46.6,-0.9
198012,48.5,1.0
198112,50.0,2.5
198212,46.4,-1.1
198312,47.8,0.3
198412,45.9,-1.6
198512,47.0,-0.5
198612,49.3,1.8
198712,48.4,0.9
198812,48.5,1.0
198912,48.6,1.1
199012,48.7,1.2
199112,47.5,0.0
199212,49.0,1.5
199312,46.8,-0.7
199412,49.7,2.2
199512,49.2,1.7
199612,49.6,2.1
199712,48.2,0.7
199812,48.3,0.8
199912,49.2,1.7
200012,50.2,2.7
200112,50.0,2.5
200212,48.8,1.3
200312,50.6,3.1
200412,48.7,1.2
200512,49.3,1.8
200612,49.2,1.7
200712,49.9,2.4
200812,48.1,0.6
200912,48.4,0.9
201012,48.3,0.8
201112,47.6,0.1
201212,50.9,3.4
201312,47.8,0.3
201412,50.4,2.9
201512,50.7,3.2
201612,50.2,2.7
201712,50.7,3.2
201812,50.4,2.9
201912,47.9,0.4
202012,50.4,2.9
202112,50.7,3.2
