West Virginia, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,50.4,-1.2
189612,52.6,1.0
189712,52.2,0.6
189812,52.5,0.9
189912,51.8,0.2
190012,53.1,1.5
190112,50.5,-1.1
190212,51.3,-0.3
190312,51.0,-0.6
190412,50.1,-1.5
190512,51.1,-0.5
190612,52.6,1.0
190712,50.8,-0.8
190812,52.2,0.6
190912,51.9,0.3
191012,51.2,-0.4
191112,53.4,1.8
191212,50.6,-1.0
191312,52.8,1.2
191412,50.8,-0.8
191512,51.4,-0.2
191612,51.5,-0.1
191712,48.8,-2.8
191812,51.6,0.0
191912,52.4,0.8
192012,50.3,-1.3
192112,54.3,2.7
192212,52.8,1.2
192312,51.7,0.1
192412,49.6,-2.0
192512,51.9,0.3
192612,50.5,-1.1
192712,52.2,0.6
192812,50.8,-0.8
192912,51.2,-0.4
193012,51.9,0.3
193112,53.5,1.9
193212,52.8,1.2
193312,52.9,1.3
193412,51.8,0.2
193512,51.5,-0.1
193612,51.7,0.1
193712,51.2,-0.4
193812,53.0,1.4
193912,52.9,1.3
194012,50.1,-1.5
194112,52.3,0.7
194212,51.8,0.2
194312,51.3,-0.3
194412,51.7,0.1
194512,51.9,0.3
194612,53.1,1.5
194712,51.2,-0.4
194812,52.1,0.5
194912,53.7,2.1
195012,51.4,-0.2
195112,51.7,0.1
195212,52.6,1.0
195312,53.3,1.7
195412,52.2,0.6
195512,52.0,0.4
195612,51.9,0.3
195712,52.5,0.9
195812,49.4,-2.2
195912,52.4,0.8
196012,50.0,-1.6
196112,51.0,-0.6
196212,50.6,-1.0
196312,49.3,-2.3
196412,51.3,-0.3
196512,51.5,-0.1
196612,50.0,-1.6
196712,50.4,-1.2
196812,50.2,-1.4
196912,50.1,-1.5
197012,51.6,0.0
197112,51.5,-0.1
197212,50.9,-0.7
197312,52.7,1.1
197412,51.8,0.2
197512,52.3,0.7
197612,49.8,-1.8
197712,50.9,-0.7
197812,49.9,-1.7
197912,50.2,-1.4
198012,50.5,-1.1
198112,50.0,-1.6
198212,51.6,0.0
198312,51.2,-0.4
198412,51.6,0.0
198512,51.6,0.0
198612,52.3,0.7
198712,52.3,0.7
198812,50.9,-0.7
198912,50.9,-0.7
199012,53.9,2.3
199112,53.8,2.2
199212,51.3,-0.3
199312,51.9,0.3
199412,51.8,0.2
199512,51.6,0.0
199612,50.7,-0.9
199712,51.0,-0.6
199812,54.2,2.6
199912,53.0,1.4
200012,51.8,0.2
200112,52.7,1.1
200212,53.2,1.6
200312,51.6,0.0
200412,52.7,1.1
200512,52.8,1.2
200612,53.0,1.4
200712,53.3,1.7
200812,51.8,0.2
200912,51.7,0.1
201012,52.0,0.4
201112,53.5,1.9
201212,54.3,2.7
201312,51.8,0.2
201412,50.8,-0.8
201512,53.1,1.5
201612,54.1,2.5
201712,54.0,2.4
201812,53.3,1.7
201912,54.2,2.6
202012,54.0,2.4
202112,53.6,2.0
